bt	direction	reaction	envipath_url
3673	f	1	00549813-a13d-442f-a963-1b146cfb2df5
4291	f	2	0066b7c0-544b-47fd-9b93-8a8b275adead
3670	f	5	0104a8a5-b682-4664-9495-52feb2af184a
4312	f	5	0104a8a5-b682-4664-9495-52feb2af184a
2690.1	f	5	0104a8a5-b682-4664-9495-52feb2af184a
3667	f	5	0104a8a5-b682-4664-9495-52feb2af184a
1278	f	6	0112db0a-a01d-4adf-84c9-59ba6dd8bf90
3557	f	8	01408102-4fcd-4500-be55-e4cecd5ef65d
2690.4	f	9	01558ef0-09ee-430f-bfb0-ccfc7f5257ff
3859	f	10	0155e610-2c40-499f-be89-918fdc999d4a
3673	f	11	01812527-e854-4ef5-8cff-387953128482
2690.4	f	13	02701c51-390e-4e79-a3b5-651dd5a803a2
3674	f	16	029608d4-4fda-4805-91f3-851a227887de
4301	f	17	02a612b9-1de5-40c0-aa43-ac9b812ea56d
3924	f	18	02d63925-a4e5-4f0d-b8e9-24a38d261781
1196	f	19	02e6efa8-8133-4431-8510-e532116bfe1e
3925	f	20	02f0f08e-c82a-41ab-9733-8885f1bf6b4b
4215	f	21	02fb6018-a289-4dbb-8817-582fbe7110d0
4149	f	23	03b19092-511d-41b7-b7f7-8a45e34ac33f
3805	f	25	03caad6a-436b-4712-b7b1-f983ffd69f72
4081	f	29	04116817-1eb6-4cab-863a-bbec78202def
3801	f	29	04116817-1eb6-4cab-863a-bbec78202def
2218	f	30	043595d0-b51b-4f8a-89e6-e4f5aaa37003
2173	f	31	0454e346-c0e8-4a8b-9075-e9c9b15f4c52
1196	f	33	04d161ea-0da2-4ad8-be8e-a23d0fab6c1b
3367	f	34	0543df76-7485-4b5d-9433-a4d15f895a27
3674	f	35	057e4e5b-55f4-45ed-9da3-67e9272d6291
1196	f	36	06d92936-364e-4d71-b0d9-47ec0e763755
3867	f	37	06e78757-5f32-4d87-b45c-5c53d5939d34
3568	f	41	07c0fbbf-818c-49ed-9e07-fbf1a46c9a25
4297.2	f	44	091619b8-cc9a-4a71-87e6-52f8081a8893
3577	f	44	091619b8-cc9a-4a71-87e6-52f8081a8893
3341	f	44	091619b8-cc9a-4a71-87e6-52f8081a8893
1376	f	45	091ffa00-b79d-4e72-8ddd-734553e607d5
3938	f	46	093b2eda-8389-40bd-b813-12ce4ce34dea
2218	f	48	09825d8f-0bb8-4338-b60c-619d2cd7a173
1196	f	49	09b8dabb-be43-478b-8133-35e8745fb3d1
3769	f	50	0a0bc2d5-6292-4441-bb6e-b809d1df317f
3855.4	f	52	0a9436d5-3291-480f-90d1-925edd42fab1
2811	f	53	0a9c3809-e3be-4985-8e36-3fa2acda53c0
3577	f	54	0ab708a1-46fc-4e54-a8c8-2fa57f6e2392
4011	f	55	0acab762-42f7-42c0-b7fe-5758c2754ea6
4170	f	57	0b17dfea-6ab5-49cb-add5-9c0edb30708b
3568	f	58	0b1bd5ce-1f03-4269-9d97-1d92d5ce31b1
2218	f	59	0b213d6c-75d0-4f11-bc61-3b21287355d3
4215	f	60	0b33aef4-5ee4-47fd-b03a-2c826aeee1af
2173	f	62	0b6803a4-a858-4041-a488-94acebc135f1
3633	f	63	0b83f9b9-2b86-48e3-b8e6-82ebb4f71a41
3769	f	65	0ba792cf-cfcb-44a2-af27-16bc96d232d9
1196	f	66	0c05fc08-6e49-4b8f-a86e-f04f4d256cfe
4168	f	69	0c5d1b22-a141-4bde-8a77-9ab38c5d0e83
3670	f	71	0c6fafc8-6352-4efe-b670-9d1394a13b2f
2690.1	f	71	0c6fafc8-6352-4efe-b670-9d1394a13b2f
3667	f	71	0c6fafc8-6352-4efe-b670-9d1394a13b2f
4062	f	73	0ce1ed18-52bc-4f60-909b-c5f90f0c2b93
3648	f	75	0dc168d4-c72d-4c93-a23e-e4a8fee79154
899	f	76	0dc4430b-f221-4ac4-a9ec-819f39268b69
4300	f	78	0e1b7610-35e4-4907-9346-2aaeec0ed3e2
2218	f	79	0e329851-583a-4eec-8ea1-04688e58f33c
1587	f	79	0e329851-583a-4eec-8ea1-04688e58f33c
4301	f	80	0e55433e-4709-42b0-9f1a-ee66ce41e756
2982	f	82	0ea9e93a-5df6-4174-b881-9ceb7441ceba
3568	f	83	0ed44e10-c024-439a-8ae8-d2db4d07bb69
4168	f	84	0ed80ffd-c885-4ebc-ab56-d0471f41419b
3580	f	85	0ee86060-12ae-49f3-9b67-c9a9a4444eea
3346	f	86	0f1c3ecb-444d-4919-a867-967016165e27
3674	f	87	0f287f87-fb2b-4fd0-8ade-7f5cb033b6a1
1129	f	90	0fdae565-2927-4a80-a331-79f5d042d171
2218	f	92	102307bf-8e43-4211-95a5-5c34699b1b1e
1587	f	92	102307bf-8e43-4211-95a5-5c34699b1b1e
3859	f	94	10920790-9ea8-442b-81a0-750898390ca2
4141	f	96	10bef8c0-cbf7-4563-8fe4-d1c9eff0db92
1196	f	97	10f15ea2-5d3d-484f-818d-68d7ac916e2f
3855.3	f	98	11116adf-d6ba-489a-b280-df9a624ae8cf
4217	f	99	1145622c-57a4-44d8-b137-98bb3b2fe4d0
3670	f	100	118234b1-c977-47a9-93ba-3d2074d33771
2690.1	f	100	118234b1-c977-47a9-93ba-3d2074d33771
3667	f	100	118234b1-c977-47a9-93ba-3d2074d33771
2690.3	f	102	11bdaa7a-d2e4-48b5-b3af-26b89924ab78
2690.2	f	102	11bdaa7a-d2e4-48b5-b3af-26b89924ab78
2218	f	103	11bdc91f-a492-4329-9ddc-1e178a6f264c
3474	f	107	12519248-e936-4521-971d-bca2dc311792
2173	f	109	12a9894a-5ff5-469e-b278-dcd9899e0178
4081	f	110	12b00765-8ce6-4e18-84a3-52d79189a39c
3568	f	111	12c65e8d-de55-4b19-b997-b9d7683e1234
2451	f	114	134dc520-2d24-4b6f-83be-ae0747150706
3336	f	115	13a22fb2-183e-4bea-87a5-2d5113aff432
3707	f	117	13ce0155-f50f-442f-a7e6-5256527c23a4
