C00002	C([C@@H]1[C@H]([C@H]([C@H](N2C=NC3=C2N=CN=C3N)O1)O)O)OP(=O)(O)OP(=O)(O)OP(=O)(O)O	ATP;Adenosine 5'-triphosphate
C00008	C([C@@H]1[C@H]([C@H]([C@H](N2C=NC3=C2N=CN=C3N)O1)O)O)OP(=O)(O)OP(=O)(O)O	ADP;Adenosine 5'-diphosphate
C00004	C1=CN(C=C(C1)C(=O)N)[C@H]2[C@@H]([C@@H]([C@@H](COP(=O)(O)OP(=O)(O)OC[C@@H]3[C@H]([C@H]([C@H](N4C=NC5=C4N=CN=C5N)O3)O)O)O2)O)O	NADH;DPNH;Reduced nicotinamide adenine dinucleotide
C00003	C1=C[N+](=CC(=C1)C(=O)N)[C@H]2[C@@H]([C@@H]([C@@H](COP(=O)(O)OP(=O)(O)OC[C@@H]3[C@H]([C@H]([C@H](N4C=NC5=C4N=CN=C5N)O3)O)O)O2)O)O	NAD+;NAD;Nicotinamide adenine dinucleotide;DPN;Diphosphopyridine nucleotide;Nadide;beta-NAD+
C00006	C1=C[N+](=CC(=C1)C(=O)N)[C@H]2[C@@H]([C@@H]([C@@H](COP(=O)(O)OP(=O)(O)OC[C@@H]3[C@H]([C@H]([C@H](N4C=NC5=C4N=CN=C5N)O3)OP(=O)(O)O)O)O2)O)O	NADP+;NADP;Nicotinamide adenine dinucleotide phosphate;beta-Nicotinamide adenine dinucleotide phosphate;TPN;Triphosphopyridine nucleotide;beta-NADP+
C00005	C1=CN(C=C(C1)C(=O)N)[C@H]2[C@@H]([C@@H]([C@@H](COP(=O)(O)OP(=O)(O)OC[C@@H]3[C@H]([C@H]([C@H](N4C=NC5=C4N=CN=C5N)O3)OP(=O)(O)O)O)O2)O)O	NADPH;TPNH;Reduced nicotinamide adenine dinucleotide phosphate
C00015	C1=CN([C@H]2[C@@H]([C@@H]([C@@H](COP(=O)(O)OP(=O)(O)O)O2)O)O)C(=O)NC1=O	UDP;Uridine 5'-diphosphate
C00075	C1=CN([C@H]2[C@@H]([C@@H]([C@@H](COP(=O)(O)OP(=O)(O)OP(=O)(O)O)O2)O)O)C(=O)NC1=O	UTP;Uridine 5'-triphosphate;Uridine triphosphate
C00016	CC1=CC2=C(C=C1C)N(C[C@@H]([C@@H]([C@@H](COP(=O)(O)OP(=O)(O)OC[C@@H]3[C@H]([C@H]([C@H](N4C=NC5=C4N=CN=C5N)O3)O)O)O)O)O)C6=NC(=O)NC(=O)C6=N2	FAD;Flavin adenine dinucleotide
C00035	C([C@@H]1[C@H]([C@H]([C@H](N2C=NC3=C2N=C(N)NC3=O)O1)O)O)OP(=O)(O)OP(=O)(O)O	GDP;Guanosine 5'-diphosphate;Guanosine diphosphate
C00044	C([C@@H]1[C@H]([C@H]([C@H](N2C=NC3=C2N=C(N)NC3=O)O1)O)O)OP(=O)(O)OP(=O)(O)OP(=O)(O)O	GTP;Guanosine 5'-triphosphate
C01352	CC1=C(C)C=C2C(=C1)NC3=C(NC(=O)NC3=O)N2C[C@@H]([C@@H]([C@@H](COP(=O)(O)OP(=O)(O)OC[C@@H]4[C@H]([C@H]([C@H](N5C=NC6=C5N=CN=C6N)O4)O)O)O)O)O	FADH2
