C00001	C00001	O([H])[H]
C00013	C00013	P(=O)(O)(O)OP(=O)(O)O
C00009	C00009	P(=O)(O)(O)O
C19610	C19610	[Mn+2]
C00027	C00027	OO
C00080	C00080	[H+]
C19611	C19611	[Mn+3]
C18091	C18091	C(/C)=[N+](\[O-])/[O-]
C00007	C00007	O=O
C01847	C01847	N1C(=O)C2NC3C=C(C)C(C)=CC=3N(C[C@H](O)[C@H](O)[C@H](O)COP(O)(=O)O)C=2NC1=O
C00084	C00084	CC=O
C00088	C00088	N(=O)O
C00061	C00061	N1C(=O)C2=NC3=CC(C)=C(C)C=C3N(C[C@H](O)[C@H](O)[C@H](O)COP(O)(=O)O)C2=NC1=O
C00378	C00378	[N+]1(=CSC(CCO)=C1C)CC1C=NC(C)=NC=1N
C05856	C05856	C([N+]1=CSC(CC=O)=C1C)C1C=NC(C)=NC=1N
C08249	C08249	[C@@H]1(C[C@@H]([C@@H](COP(=O)(O)O)O1)O)[N+]1=CN=CC=C1
C01020	C01020	C1(=CN=C(O)C=C1)C(O)=O
C01059	C01059	C1(O)C=NC(O)=CC=1
C00011	C00011	C(=O)=O
C01327	C01327	Cl[H]
C00282	C00282	[H][H]
C02892	C02892	N1C(N)=C(C[N+]2=CSC(CC(=O)O)=C2C)C=NC=1C
C00427	C00427	[C@H]1(C/C=C\CCCC(=O)O)[C@H]2OO[C@H](C2)[C@@H]1/C=C/[C@@H](O)CCCCC
C05956	C05956	[C@H]1(/C=C/[C@@H](OO)CCCCC)[C@@H]2OO[C@@H](C2)[C@@H]1C/C=C\CCCC(=O)O
C01785	C01785	C1(O)C=CC=CC=1O
C00002	C00002	N1(C=NC2C(N)=NC=NC1=2)[C@H]1[C@H](O)[C@@H]([C@@H](COP(=O)(O)OP(=O)(O)OP(=O)(O)O)O1)O
C00020	C00020	N1(C=NC2C(N)=NC=NC1=2)[C@H]1[C@H](O)[C@@H]([C@@H](COP(=O)(O)O)O1)O
C00008	C00008	N1(C=NC2C(N)=NC=NC1=2)[C@H]1[C@H](O)[C@@H]([C@@H](COP(=O)(O)OP(=O)(O)O)O1)O
C00081	C00081	N1(C=NC2C(=O)NC=NC1=2)[C@H]1[C@H](O)[C@@H]([C@@H](COP(=O)(O)OP(=O)(O)OP(=O)(O)O)O1)O
C00014	C00014	N([H])([H])[H]
C00575	C00575	N1(C=NC2C(N)=NC=NC1=2)[C@@H]1O[C@H]2[C@@H](OP(OC2)(=O)O)[C@H]1O
C00004	C00004	N1(C=NC2C(N)=NC=NC1=2)[C@H]1[C@H](O)[C@@H]([C@@H](COP(=O)(O)OP(=O)(O)OC[C@@H]2[C@@H](O)[C@H]([C@H](N3C=CCC(C(=O)N)=C3)O2)O)O1)O
C00003	C00003	[C@H]1(O)[C@H]([N+]2C=CC=C(C(=O)N)C=2)O[C@H](COP(O)(=O)OP(O)(=O)OC[C@H]2O[C@@H](N3C4=NC=NC(N)=C4N=C3)[C@H](O)[C@@H]2O)[C@H]1O
C00072	C00072	[C@@]1([H])([C@@H](O)CO)OC(C(O)=C1O)=O
