R00002	1.18.6.1	nitrogenase	1.18.6
R00004	3.6.1.1	inorganic diphosphatase	3.6.1
R00005	3.5.1.54	allophanate hydrolase	3.5.1
R00006	2.2.1.6	acetolactate synthase	2.2.1
R00008	4.1.3.17	4-hydroxy-4-methyl-2-oxoglutarate aldolase	4.1.3
R00009	1.11.1.6	catalase	1.11.1
R00009	1.11.1.21	catalase-peroxidase	1.11.1
R00010	3.2.1.28	alpha,alpha-trehalase	3.2.1
R00011	1.11.1.13	manganese peroxidase	1.11.1
R00011	1.11.1.16	versatile peroxidase	1.11.1
R00012	2.7.7.45	guanosine-triphosphate guanylyltransferase	2.7.7
R00013	4.1.1.47	tartronate-semialdehyde synthase	4.1.1
R00014	1.2.4.1	pyruvate dehydrogenase (acetyl-transferring)	1.2.4
R00014	2.2.1.6	acetolactate synthase	2.2.1
R00014	4.1.1.1	pyruvate decarboxylase	4.1.1
R00015	2.4.1.99	sucrose:sucrose fructosyltransferase	2.4.1
R00017	1.11.1.5	cytochrome-c peroxidase	1.11.1
R00018	2.5.1.44	homospermidine synthase	2.5.1
R00019	1.12.7.2	ferredoxin hydrogenase	1.12.7
R00019	1.12.99.-		1.12.99
R00021	1.4.7.1	glutamate synthase (ferredoxin)	1.4.7
R00022	3.2.1.52	beta-N-acetylhexosaminidase	3.2.1
R00023	1.7.1.5	hyponitrite reductase	1.7.1
R00024	4.1.1.39	ribulose-bisphosphate carboxylase	4.1.1
R00025	1.13.12.16	nitronate monooxygenase	1.13.12
R00026	3.2.1.21	beta-glucosidase	3.2.1
R00027	4.1.2.38	benzoin aldolase	4.1.2
R00028	3.2.1.20	alpha-glucosidase	3.2.1
R00029	1.8.2.2	thiosulfate dehydrogenase	1.8.2
R00031	1.10.3.1	catechol oxidase	1.10.3
R00031	1.14.18.1	tyrosinase	1.14.18
R00032	1.13.11.63	beta-carotene 15,15'-dioxygenase	1.13.11
R00033	1.1.3.23	thiamine oxidase	1.1.3
R00036	4.2.1.24	porphobilinogen synthase	4.2.1
R00038	4.1.2.35	propioin synthase	4.1.2
R00039	2.4.1.166	raffinose---raffinose alpha-galactosyltransferase	2.4.1
R00042	1.2.3.13	4-hydroxyphenylpyruvate oxidase	1.2.3
R00043	1.13.11.43	lignostilbene alphabeta-dioxygenase	1.13.11
R00044	1.21.3.2	columbamine oxidase	1.21.3
R00045	1.10.3.1	catechol oxidase	1.10.3
R00045	1.14.18.1	tyrosinase	1.14.18
R00048	3.1.1.22	hydroxybutyrate-dimer hydrolase	3.1.1
R00049	2.3.1.90	beta-glucogallin O-galloyltransferase	2.3.1
R00053	3.1.1.20	tannase	3.1.1
R00054	3.1.1.40	orsellinate-depside hydrolase	3.1.1
R00055	1.1.3.28	nucleoside oxidase	1.1.3
R00056	3.6.1.-		3.6.1
R00057	1.8.3.2	thiol oxidase	1.8.3
R00058	1.10.3.1	catechol oxidase	1.10.3
R00058	1.14.18.1	tyrosinase	1.14.18
R00059	3.5.1.46	6-aminohexanoate-oligomer exohydrolase	3.5.1
