P(=O)(O)(O)OP(=O)(O)O.O([H])[H]	R00004	P(=O)(O)(O)O
[Mn+2].OO.[H+]	R00011	O([H])[H].[Mn+3]
C(/C)=[N+](\[O-])/[O-].O=O.N1C(=O)C2NC3C=C(C)C(C)=CC=3N(C[C@H](O)[C@H](O)[C@H](O)COP(O)(=O)O)C=2NC1=O	R00025	O([H])[H].CC=O.N(=O)O.N1C(=O)C2=NC3=CC(C)=C(C)C=C3N(C[C@H](O)[C@H](O)[C@H](O)COP(O)(=O)O)C2=NC1=O
O=O.[N+]1(=CSC(CCO)=C1C)CC1C=NC(C)=NC=1N	R00033	OO.C([N+]1=CSC(CC=O)=C1C)C1C=NC(C)=NC=1N
O([H])[H].O=O.C([N+]1=CSC(CC=O)=C1C)C1C=NC(C)=NC=1N	R00072	OO.N1C(N)=C(C[N+]2=CSC(CC(=O)O)=C2C)C=NC=1C
O([H])[H].N1(C=NC2C(N)=NC=NC1=2)[C@H]1[C@H](O)[C@@H]([C@@H](COP(=O)(O)OP(=O)(O)OP(=O)(O)O)O1)O	R00085	P(=O)(O)(O)O.N1(C=NC2C(N)=NC=NC1=2)[C@H]1[C@H](O)[C@@H]([C@@H](COP(=O)(O)O)O1)O
O([H])[H].N1(C=NC2C(N)=NC=NC1=2)[C@H]1[C@H](O)[C@@H]([C@@H](COP(=O)(O)OP(=O)(O)OP(=O)(O)O)O1)O	R00086	P(=O)(O)(O)O.N1(C=NC2C(N)=NC=NC1=2)[C@H]1[C@H](O)[C@@H]([C@@H](COP(=O)(O)OP(=O)(O)O)O1)O
O([H])[H].N1(C=NC2C(N)=NC=NC1=2)[C@H]1[C@H](O)[C@@H]([C@@H](COP(=O)(O)OP(=O)(O)OP(=O)(O)O)O1)O	R00087	P(=O)(O)(O)OP(=O)(O)O.N1(C=NC2C(N)=NC=NC1=2)[C@H]1[C@H](O)[C@@H]([C@@H](COP(=O)(O)O)O1)O
O([H])[H].N1(C=NC2C(N)=NC=NC1=2)[C@H]1[C@H](O)[C@@H]([C@@H](COP(=O)(O)OP(=O)(O)OP(=O)(O)O)O1)O	R00088	N1(C=NC2C(=O)NC=NC1=2)[C@H]1[C@H](O)[C@@H]([C@@H](COP(=O)(O)OP(=O)(O)OP(=O)(O)O)O1)O.N([H])([H])[H]
N1(C=NC2C(N)=NC=NC1=2)[C@H]1[C@H](O)[C@@H]([C@@H](COP(=O)(O)OP(=O)(O)OP(=O)(O)O)O1)O	R00089	P(=O)(O)(O)OP(=O)(O)O.N1(C=NC2C(N)=NC=NC1=2)[C@@H]1O[C@H]2[C@@H](OP(OC2)(=O)O)[C@H]1O
OO.[H+].N1(C=NC2C(N)=NC=NC1=2)[C@H]1[C@H](O)[C@@H]([C@@H](COP(=O)(O)OP(=O)(O)OC[C@@H]2[C@@H](O)[C@H]([C@H](N3C=CCC(C(=O)N)=C3)O2)O)O1)O	R00090	O([H])[H].[C@H]1(O)[C@H]([N+]2C=CC=C(C(=O)N)C=2)O[C@H](COP(O)(=O)OP(O)(=O)OC[C@H]2O[C@@H](N3C4=NC=NC(N)=C4N=C3)[C@H](O)[C@@H]2O)[C@H]1O
O([H])[H].[C@H]1(O)[C@H]([N+]2C=CC=C(C(=O)N)C=2)O[C@H](COP(O)(=O)OP(O)(=O)OC[C@H]2O[C@@H](N3C4=NC=NC(N)=C4N=C3)[C@H](O)[C@@H]2O)[C@H]1O	R00103	N1(C=NC2C(N)=NC=NC1=2)[C@H]1[C@H](O)[C@@H]([C@@H](COP(=O)(O)O)O1)O.[C@@H]1([C@H](O)[C@@H]([C@@H](COP([O-])(=O)O)O1)O)[N+]1=CC=CC(C(=O)N)=C1
N1(C=NC2C(N)=NC=NC1=2)[C@H]1[C@H](O)[C@@H]([C@@H](COP(=O)(O)OP(=O)(O)OP(=O)(O)O)O1)O.[C@H]1(O)[C@H]([N+]2C=CC=C(C(=O)N)C=2)O[C@H](COP(O)(=O)OP(O)(=O)OC[C@H]2O[C@@H](N3C4=NC=NC(N)=C4N=C3)[C@H](O)[C@@H]2O)[C@H]1O	R00104	N1(C=NC2C(N)=NC=NC1=2)[C@H]1[C@H](O)[C@@H]([C@@H](COP(=O)(O)OP(=O)(O)O)O1)O.[C@H]1(O[C@@H]([C@@H](O)[C@H]1OP(=O)(O)O)COP(=O)(O)OP(=O)(O)OC[C@@H]1[C@@H](O)[C@H]([C@H]([N+]2=CC=CC(C(=O)N)=C2)O1)O)N1C=NC2C(N)=NC=NC1=2
N1(C=NC2C(N)=NC=NC1=2)[C@H]1[C@H](O)[C@@H]([C@@H](COP(=O)(O)OP(=O)(O)OP(=O)(O)O)O1)O.N1(C=NC2C(N)=NC=NC1=2)[C@H]1[C@H](O)[C@@H]([C@@H](COP(=O)(O)OP(=O)(O)OC[C@@H]2[C@@H](O)[C@H]([C@H](N3C=CCC(C(=O)N)=C3)O2)O)O1)O	R00105	N1(C=NC2C(N)=NC=NC1=2)[C@H]1[C@H](O)[C@@H]([C@@H](COP(=O)(O)OP(=O)(O)O)O1)O.[C@H]1(O[C@@H]([C@@H](O)[C@H]1OP(=O)(O)O)COP(=O)(O)OP(=O)(O)OC[C@@H]1[C@@H](O)[C@H]([C@H](N2C=CCC(C(=O)N)=C2)O1)O)N1C=NC2C(N)=NC=NC1=2
[C@H]1(O)[C@H]([N+]2C=CC=C(C(=O)N)C=2)O[C@H](COP(O)(=O)OP(O)(=O)OC[C@H]2O[C@@H](N3C4=NC=NC(N)=C4N=C3)[C@H](O)[C@@H]2O)[C@H]1O.[C@H]1(O[C@@H]([C@@H](O)[C@H]1OP(=O)(O)O)COP(=O)(O)OP(=O)(O)OC[C@@H]1[C@@H](O)[C@H]([C@H](N2C=CCC(C(=O)N)=C2)O1)O)N1C=NC2C(N)=NC=NC1=2	R00112	N1(C=NC2C(N)=NC=NC1=2)[C@H]1[C@H](O)[C@@H]([C@@H](COP(=O)(O)OP(=O)(O)OC[C@@H]2[C@@H](O)[C@H]([C@H](N3C=CCC(C(=O)N)=C3)O2)O)O1)O.[C@H]1(O[C@@H]([C@@H](O)[C@H]1OP(=O)(O)O)COP(=O)(O)OP(=O)(O)OC[C@@H]1[C@@H](O)[C@H]([C@H]([N+]2=CC=CC(C(=O)N)=C2)O1)O)N1C=NC2C(N)=NC=NC1=2
OO.[H+].[C@H]1(O[C@@H]([C@@H](O)[C@H]1OP(=O)(O)O)COP(=O)(O)OP(=O)(O)OC[C@@H]1[C@@H](O)[C@H]([C@H](N2C=CCC(C(=O)N)=C2)O1)O)N1C=NC2C(N)=NC=NC1=2	R00113	O([H])[H].[C@H]1(O[C@@H]([C@@H](O)[C@H]1OP(=O)(O)O)COP(=O)(O)OP(=O)(O)OC[C@@H]1[C@@H](O)[C@H]([C@H]([N+]2=CC=CC(C(=O)N)=C2)O1)O)N1C=NC2C(N)=NC=NC1=2
O([H])[H].[C@H]1(O[C@@H]([C@@H](O)[C@H]1OP(=O)(O)O)COP(=O)(O)OP(=O)(O)OC[C@@H]1[C@@H](O)[C@H]([C@H]([N+]2=CC=CC(C(=O)N)=C2)O1)O)N1C=NC2C(N)=NC=NC1=2	R00118	P(=O)(O)(O)O.[C@H]1(O)[C@H]([N+]2C=CC=C(C(=O)N)C=2)O[C@H](COP(O)(=O)OP(O)(=O)OC[C@H]2O[C@@H](N3C4=NC=NC(N)=C4N=C3)[C@H](O)[C@@H]2O)[C@H]1O
