bt	direction	reaction	envipath_url
3568	f	4	R00033
1196	f	5	R00072
4141	f	6	R00085
4141	f	7	R00086
4141	f	7	R10531
4141	f	8	R00087
4141	f	12	R00103
4141	f	17	R00118
4141	f	19	R00122
4141	f	22	R00128
4141	f	30	R00140
4141	f	34	R00155
4141	f	39	R00160
4141	f	41	R00173
3501	f	45	R00178
4141	f	50	R00183
4141	f	51	R00184
4141	f	53	R00187
4141	f	54	R00188
4141	f	56	R00191
4141	f	67	R00208
2853	f	67	R00208
1196	f	82	R00228
3573	f	85	R00233
4141	f	87	R00236
3943	f	88	R00237
3938	f	90	R00243
1196	f	91	R00245
3938	f	92	R00248
3938	f	93	R00250
4013	f	94	R00251
3501	f	101	R00261
1196	f	103	R00264
2982	f	104	R00265
3456	f	107	R00269
3938	f	111	R00277
3568	f	112	R00278
3938	f	113	R00279
4141	f	114	R00287
3673	f	119	R00300
3673	f	121	R00302
4141	f	122	R00303
4141	f	123	R00304
4141	f	128	R00317
3336	f	129	R00318
3456	f	132	R00321
4141	f	133	R00322
3577	f	134	R00324
3943	f	135	R00325
2218	f	136	R00327
4141	f	137	R00328
4141	f	140	R00336
4141	f	141	R00337
3673	f	146	R00342
3673	f	147	R00343
3456	f	152	R00348
3943	f	153	R00350
3943	f	154	R00351
3943	f	155	R00352
3938	f	158	R00357
3938	f	159	R00359
3673	f	160	R00360
3943	f	161	R00362
3938	f	163	R00365
3938	f	164	R00366
3938	f	166	R00368
3938	f	171	R00396
3943	f	181	R00409
4013	f	183	R00411
4141	f	189	R00426
3938	f	197	R00446
3938	f	198	R00447
3501	f	201	R00451
3938	f	202	R00452
4013	f	206	R00458
3501	f	209	R00462
4013	f	210	R00463
3568	f	211	R00465
1196	f	212	R00466
1196	f	213	R00468
4295	f	214	R00469
3568	f	220	R00475
3564	f	227	R00484
4292	f	228	R00486
4013	f	230	R00488
3501	f	231	R00489
4013	f	234	R00494
3638	f	236	R00499
4141	f	242	R00508
4141	f	245	R00511
4141	f	248	R00514
4141	f	249	R00515
4013	f	257	R00525
3907	f	257	R00525
4013	f	258	R00526
3907	f	258	R00526
3638	f	259	R00527
3211	f	265	R00534
4141	f	269	R00548
3938	f	277	R00562
3938	f	278	R00563
3501	f	280	R00566
4141	f	283	R00569
3938	f	292	R00581
4141	f	293	R00582
3938	f	305	R00610
3938	f	306	R00612
4141	f	307	R00615
4141	f	310	R00618
3673	f	313	R00643
3673	f	314	R00644
3232	f	315	R00647
3938	f	316	R00648
4013	f	321	R00653
3907	f	321	R00653
3501	f	324	R00656
4141	f	329	R00662
3564	f	330	R00665
3938	f	331	R00666
4013	f	334	R00669
3501	f	335	R00670
3938	f	340	R00675
3938	f	341	R00676
