auto_transient	compound	isproduct	rclass	reaction	stoichn	stoichn_corr
False	C00404	False	False	R00001	1	1
False	C00001	False	False	R00001	n	n
False	C02174	True	False	R00001	(n+1)	(n+1)
False	C00002	False	True	R00002	16	16
False	C00001	False	False	R00002	16	16
False	C00138	False	False	R00002	8	8
False	C05359	True	False	R00002	8	8
False	C00009	True	False	R00002	16	16
False	C00008	True	True	R00002	16	16
False	C00139	True	False	R00002	8	8
False	C00013	False	False	R00004	1	1
False	C00001	False	False	R00004	1	1
False	C00009	True	False	R00004	2	2
False	C01010	False	True	R00005	1	1
False	C00001	False	False	R00005	1	1
False	C00011	True	True	R00005	2	2
False	C00014	True	False	R00005	2	2
False	C00900	False	True	R00006	1	1
False	C00011	False	False	R00006	1	1
False	C00022	True	True	R00006	2	2
False	C06033	False	True	R00008	1	1
False	C00022	True	True	R00008	2	2
False	C00027	False	True	R00009	2	2
False	C00007	True	True	R00009	1	1
False	C00001	True	False	R00009	2	2
False	C01083	False	True	R00010	1	1
False	C00001	False	False	R00010	1	1
False	C00031	True	True	R00010	2	2
False	C19610	False	False	R00011	2	2
False	C00027	False	False	R00011	1	1
False	C00080	False	False	R00011	2	2
False	C19611	True	False	R00011	2	2
False	C00001	True	False	R00011	2	2
False	C00044	False	True	R00012	2	2
False	C00013	True	False	R00012	1	1
False	C01261	True	True	R00012	1	1
False	C00048	False	True	R00013	2	2
False	C01146	True	True	R00013	1	1
False	C00011	True	False	R00013	1	1
False	C00089	False	True	R00015	2	2
False	C00031	True	True	R00015	1	1
False	C03661	True	True	R00015	1	1
False	C00027	False	False	R00017	1	1
False	C00126	False	True	R00017	2	2
False	C00125	True	True	R00017	2	2
False	C00001	True	False	R00017	2	2
False	C00134	False	True	R00018	2	2
False	C06366	True	True	R00018	1	1
False	C00014	True	False	R00018	1	1
False	C00025	False	True	R00021	2	2
False	C00139	False	False	R00021	2	2
False	C00064	True	True	R00021	1	1
False	C00026	True	True	R00021	1	1
False	C00138	True	False	R00021	2	2
False	C00080	True	False	R00021	2	2
False	C01674	False	True	R00022	1	1
False	C00001	False	False	R00022	1	1
False	C00140	True	True	R00022	2	2
False	C00192	False	False	R00023	2	2
False	C00003	False	True	R00023	2	2
False	C01818	True	False	R00023	1	1
False	C00004	True	True	R00023	2	2
False	C00080	True	False	R00023	2	2
False	C01182	False	True	R00024	1	1
False	C00011	False	False	R00024	1	1
False	C00001	False	False	R00024	1	1
False	C00197	True	True	R00024	2	2
False	C18091	False	True	R00025	1	1
False	C00007	False	False	R00025	1	1
False	C01847	False	True	R00025	1	1
False	C00084	True	True	R00025	1	1
False	C00088	True	True	R00025	1	1
False	C00061	True	True	R00025	1	1
False	C00001	True	False	R00025	1	1
False	C00185	False	True	R00026	1	1
False	C00001	False	False	R00026	1	1
False	C00221	True	True	R00026	2	2
False	C01408	False	True	R00027	1	1
False	C00261	True	True	R00027	2	2
False	C00208	False	True	R00028	1	1
False	C00001	False	False	R00028	1	1
False	C00031	True	True	R00028	2	2
False	C00320	False	True	R00029	2	2
False	C00125	False	True	R00029	2	2
False	C02084	True	True	R00029	1	1
False	C00126	True	True	R00029	2	2
False	C02094	False	True	R00032	1	1
False	C00007	False	False	R00032	1	1
False	C00376	True	True	R00032	2	2
False	C00378	False	True	R00033	1	1
False	C00007	False	True	R00033	1	1
False	C00027	True	True	R00033	1	1
False	C05856	True	True	R00033	1	1
False	C03103	False	False	R00034	1	1
False	C08249	True	False	R00034	2	2
False	C00430	False	True	R00036	2	2
False	C00931	True	True	R00036	1	1
False	C00001	True	False	R00036	2	2
False	C00479	False	True	R00038	2	2
False	C02948	True	True	R00038	1	1
False	C00492	False	True	R00039	2	2
False	C08242	True	False	R00039	1	1
False	C00089	True	True	R00039	1	1
False	C00339	False	False	R00041	2	2
False	C00007	False	False	R00041	1	1
False	C00609	True	False	R00041	2	2
False	C00001	True	False	R00041	2	2
False	C01179	False	True	R00042	2	2
False	C00007	False	False	R00042	1	1
False	C00642	True	True	R00042	2	2
False	C00011	True	False	R00042	2	2
False	C04547	False	True	R00043	1	1
False	C00007	False	False	R00043	1	1
False	C00755	True	True	R00043	2	2
False	C01795	False	True	R00044	2	2
False	C00007	False	False	R00044	1	1
False	C00757	True	True	R00044	2	2
False	C00001	True	False	R00044	2	2
False	C00007	False	False	R00047	1	1
False	C01020	False	True	R00047	1	1
False	C00030	False	False	R00047	1	1
False	C01059	True	True	R00047	1	1
False	C00011	True	False	R00047	1	1
False	C00028	True	False	R00047	1	1
False	C00001	True	False	R00047	1	1
False	C04546	False	True	R00048	1	1
False	C00001	False	False	R00048	1	1
False	C01089	True	True	R00048	2	2
False	C01158	False	True	R00049	2	2
False	C00031	True	True	R00049	1	1
False	C04101	True	True	R00049	1	1
False	C00027	False	False	R00052	1	1
False	C01371	False	True	R00052	1	1
False	C01327	False	False	R00052	1	1
False	C01334	True	True	R00052	1	1
False	C00001	True	False	R00052	2	2
False	C01572	False	True	R00053	1	1
False	C00001	False	False	R00053	1	1
False	C01424	True	True	R00053	2	2
False	C02868	False	True	R00054	1	1
False	C00001	False	False	R00054	1	1
False	C01839	True	True	R00054	2	2
False	C00294	False	True	R00055	2	2
False	C00007	False	False	R00055	1	1
False	C01993	True	True	R00055	2	2
False	C00001	True	False	R00055	2	2
False	C01910	False	True	R00056	1	1
False	C00001	False	False	R00056	1	1
False	C02171	True	True	R00056	2	2
False	C00007	False	True	R00057	1	1
False	C01525	False	True	R00057	2	2
False	C02318	True	True	R00057	1	1
