btc	bt	EC_number	3rd_lvl	EC_name	evidence	rule
bt0001	3568	1.1.3.23	1.1.3	thiamine oxidase	R00033	https://envipath.org/package/32de3cf4-e3e6-4168-956e-32fa5ddb0ce1/parallel-rule/507b2719-da61-4793-87fc-2d4ae9c20ce9
bt0001	3568	1.4.3.5	1.4.3	pyridoxal 5'-phosphate synthase	R00278	https://envipath.org/package/32de3cf4-e3e6-4168-956e-32fa5ddb0ce1/parallel-rule/507b2719-da61-4793-87fc-2d4ae9c20ce9
bt0001	3568	1.1.1.79	1.1.1	glyoxylate reductase (NADP+)	R00465	https://envipath.org/package/32de3cf4-e3e6-4168-956e-32fa5ddb0ce1/parallel-rule/507b2719-da61-4793-87fc-2d4ae9c20ce9
bt0001	3568	1.1.3.15	1.1.3	(S)-2-hydroxy-acid oxidase	R00475	https://envipath.org/package/32de3cf4-e3e6-4168-956e-32fa5ddb0ce1/parallel-rule/507b2719-da61-4793-87fc-2d4ae9c20ce9
bt0001	3568	1.1.1.26	1.1.1	glyoxylate reductase	R00717	https://envipath.org/package/32de3cf4-e3e6-4168-956e-32fa5ddb0ce1/parallel-rule/507b2719-da61-4793-87fc-2d4ae9c20ce9
bt0001	3568	1.1.1.29	1.1.1	glycerate dehydrogenase	R00717	https://envipath.org/package/32de3cf4-e3e6-4168-956e-32fa5ddb0ce1/parallel-rule/507b2719-da61-4793-87fc-2d4ae9c20ce9
bt0001	3568	1.1.1.2	1.1.1	alcohol dehydrogenase (NADP+)	R00746	https://envipath.org/package/32de3cf4-e3e6-4168-956e-32fa5ddb0ce1/parallel-rule/507b2719-da61-4793-87fc-2d4ae9c20ce9
bt0001	3568	1.1.1.71	1.1.1	alcohol dehydrogenase [NAD(P)+]	R00746	https://envipath.org/package/32de3cf4-e3e6-4168-956e-32fa5ddb0ce1/parallel-rule/507b2719-da61-4793-87fc-2d4ae9c20ce9
bt0001	3568	1.1.1.1	1.1.1	alcohol dehydrogenase	R00754	https://envipath.org/package/32de3cf4-e3e6-4168-956e-32fa5ddb0ce1/parallel-rule/507b2719-da61-4793-87fc-2d4ae9c20ce9
bt0001	3568	1.1.1.71	1.1.1	alcohol dehydrogenase [NAD(P)+]	R00754	https://envipath.org/package/32de3cf4-e3e6-4168-956e-32fa5ddb0ce1/parallel-rule/507b2719-da61-4793-87fc-2d4ae9c20ce9
bt0001	3568	1.1.1.177	1.1.1	glycerol-3-phosphate 1-dehydrogenase (NADP+)	R00845	https://envipath.org/package/32de3cf4-e3e6-4168-956e-32fa5ddb0ce1/parallel-rule/507b2719-da61-4793-87fc-2d4ae9c20ce9
