btc	bt	EC_number	EC_name	3rd_lvl	reaction	evidence	rule	simple_rule
bt0001	3568	1.1.3.23	thiamine oxidase	1.1.3	4	R00033	https://envipath.org/package/32de3cf4-e3e6-4168-956e-32fa5ddb0ce1/parallel-rule/507b2719-da61-4793-87fc-2d4ae9c20ce9	https://envipath.org/package/32de3cf4-e3e6-4168-956e-32fa5ddb0ce1/simple-rule/24d3215b-aefa-4538-b345-16e2a5e042b1
bt0001	3568	1.4.3.5	pyridoxal 5'-phosphate synthase	1.4.3	112	R00278	https://envipath.org/package/32de3cf4-e3e6-4168-956e-32fa5ddb0ce1/parallel-rule/507b2719-da61-4793-87fc-2d4ae9c20ce9	https://envipath.org/package/32de3cf4-e3e6-4168-956e-32fa5ddb0ce1/simple-rule/24d3215b-aefa-4538-b345-16e2a5e042b1
bt0001	3568	1.1.1.79	glyoxylate reductase (NADP+)	1.1.1	211	R00465	https://envipath.org/package/32de3cf4-e3e6-4168-956e-32fa5ddb0ce1/parallel-rule/507b2719-da61-4793-87fc-2d4ae9c20ce9	https://envipath.org/package/32de3cf4-e3e6-4168-956e-32fa5ddb0ce1/simple-rule/24d3215b-aefa-4538-b345-16e2a5e042b1
bt0001	3568	1.1.3.15	(S)-2-hydroxy-acid oxidase	1.1.3	220	R00475	https://envipath.org/package/32de3cf4-e3e6-4168-956e-32fa5ddb0ce1/parallel-rule/507b2719-da61-4793-87fc-2d4ae9c20ce9	https://envipath.org/package/32de3cf4-e3e6-4168-956e-32fa5ddb0ce1/simple-rule/24d3215b-aefa-4538-b345-16e2a5e042b1
bt0001	3568	1.1.1.26	glyoxylate reductase	1.1.1	375	R00717	https://envipath.org/package/32de3cf4-e3e6-4168-956e-32fa5ddb0ce1/parallel-rule/507b2719-da61-4793-87fc-2d4ae9c20ce9	https://envipath.org/package/32de3cf4-e3e6-4168-956e-32fa5ddb0ce1/simple-rule/24d3215b-aefa-4538-b345-16e2a5e042b1
bt0001	3568	1.1.1.29	glycerate dehydrogenase	1.1.1	375	R00717	https://envipath.org/package/32de3cf4-e3e6-4168-956e-32fa5ddb0ce1/parallel-rule/507b2719-da61-4793-87fc-2d4ae9c20ce9	https://envipath.org/package/32de3cf4-e3e6-4168-956e-32fa5ddb0ce1/simple-rule/24d3215b-aefa-4538-b345-16e2a5e042b1
bt0001	3568	1.1.1.2	alcohol dehydrogenase (NADP+)	1.1.1	397	R00746	https://envipath.org/package/32de3cf4-e3e6-4168-956e-32fa5ddb0ce1/parallel-rule/507b2719-da61-4793-87fc-2d4ae9c20ce9	https://envipath.org/package/32de3cf4-e3e6-4168-956e-32fa5ddb0ce1/simple-rule/24d3215b-aefa-4538-b345-16e2a5e042b1
bt0001	3568	1.1.1.71	alcohol dehydrogenase [NAD(P)+]	1.1.1	397	R00746	https://envipath.org/package/32de3cf4-e3e6-4168-956e-32fa5ddb0ce1/parallel-rule/507b2719-da61-4793-87fc-2d4ae9c20ce9	https://envipath.org/package/32de3cf4-e3e6-4168-956e-32fa5ddb0ce1/simple-rule/24d3215b-aefa-4538-b345-16e2a5e042b1
bt0001	3568	1.1.1.1	alcohol dehydrogenase	1.1.1	404	R00754	https://envipath.org/package/32de3cf4-e3e6-4168-956e-32fa5ddb0ce1/parallel-rule/507b2719-da61-4793-87fc-2d4ae9c20ce9	https://envipath.org/package/32de3cf4-e3e6-4168-956e-32fa5ddb0ce1/simple-rule/24d3215b-aefa-4538-b345-16e2a5e042b1
bt0001	3568	1.1.1.71	alcohol dehydrogenase [NAD(P)+]	1.1.1	404	R00754	https://envipath.org/package/32de3cf4-e3e6-4168-956e-32fa5ddb0ce1/parallel-rule/507b2719-da61-4793-87fc-2d4ae9c20ce9	https://envipath.org/package/32de3cf4-e3e6-4168-956e-32fa5ddb0ce1/simple-rule/24d3215b-aefa-4538-b345-16e2a5e042b1
bt0001	3568	1.1.1.177	glycerol-3-phosphate 1-dehydrogenase (NADP+)	1.1.1	463	R00845	https://envipath.org/package/32de3cf4-e3e6-4168-956e-32fa5ddb0ce1/parallel-rule/507b2719-da61-4793-87fc-2d4ae9c20ce9	https://envipath.org/package/32de3cf4-e3e6-4168-956e-32fa5ddb0ce1/simple-rule/24d3215b-aefa-4538-b345-16e2a5e042b1
